rank,name,ratings
1,NVIDIA,4.6
2,HubSpot,4.6
3,Bain & Company,4.6
4,eXp Realty,4.6
5,Box,4.6
6,Boston Consulting Group,4.5
7,Google,4.5
8,Veterans United Home Loans,4.5
9,lululemon,4.5
10,Salesforce,4.5
11,Royal Caribbean Group,4.5
12,NASA Jet Propulsion Laboratory,4.5
13,Five9,4.5
14,Twilio,4.4
15,Johns Hopkins University Applied Physics Laboratory,4.4
16,Adobe,4.4
17,Akamai,4.4
18,Delta Air Lines,4.4
19,LinkedIn,4.4
20,Rivian,4.4
21,Autodesk,4.4
22,MathWorks,4.4
23,ServiceNow,4.4
24,Mountain America Credit Union,4.4
25,Milwaukee Tool,4.4
26,The Church of Jesus Christ of Latter-day Saints,4.4
27,DocuSign,4.4
28,Microsoft,4.4
29,Intuitive (Intuitive Surgical),4.4
30,Southwest Airlines,4.4
31,Capital Group,4.4
32,Trader Joe's,4.4
33,H E B,4.4
34,Booz Allen Hamilton,4.4
35,Hilti North America,4.4
36,Block,4.4
37,Lawrence Livermore National Laboratory,4.4
38,Zscaler,4.4
39,In-N-Out Burger,4.4
40,Tanium,4.4
41,Red Hat,4.3
42,SAP,4.3
43,Zendesk,4.3
44,Silicon Valley Bank,4.3
45,AppFolio,4.3
46,Merck,4.3
47,Meta,4.3
48,Houston Methodist,4.3
49,St. Jude Children's Research Hospital,4.3
50,Southern California Edison,4.3
51,Keller Williams,4.3
52,Boston Scientific,4.3
53,Curriculum Associates,4.3
54,Zillow,4.3
55,eBay,4.3
56,Apple,4.3
57,Texas Instruments,4.3
58,Momentum Solar,4.3
59,Fidelity Investments,4.3
60,Qualtrics,4.3
61,First Republic Bank,4.3
62,Robins & Morton,4.3
63,Slalom,4.3
64,AMD,4.3
65,Coldwell Banker,4.3
66,Viasat,4.3
67,Atlassian,4.3
68,Forrester,4.3
69,CDW,4.3
70,Databricks,4.3
71,Visa Inc.,4.3
72,SailPoint Technologies,4.3
73,Capital One,4.3
74,Roche,4.3
75,Johnson & Johnson,4.3
76,Workday,4.2
77,Randstad Sourceright,4.2
78,Estée Lauder Companies,4.2
79,NIH,4.2
80,Wegmans Food Markets,4.2
81,Cisco Systems,4.2
82,Mars,4.2
83,Medtronic,4.2
84,Vans,4.2
85,VMware,4.2
86,Mayo Clinic,4.2
87,Qualcomm,4.2
88,Madewell,4.2
89,Exact Sciences,4.2
90,Scheels,4.2
91,Procore Technologies,4.2
92,Intel Corporation,4.2
93,Costco Wholesale,4.2
94,Pfizer,4.2
95,REI,4.2
96,Cincinnati Children's Hospital,4.2
97,Universal Studios,4.2
98,Malouf Companies,4.2
99,RE/MAX,4.2
100,Zoom Video Communications,4.2
